2020-07-31 17:47:58.238 INFO  test log 
2020-08-08 21:49:39.032 INFO  disconnection : AnonymousUser31 
2020-08-08 21:59:24.564 INFO  New user connected :: AnonymousUser86 
2020-08-08 21:59:54.589 INFO  disconnection : AnonymousUser86 
2020-08-08 22:03:18.451 INFO  New user connected :: AnonymousUser2 
2020-08-08 22:03:48.472 INFO  disconnection : AnonymousUser2 
2020-08-08 22:04:23.133 INFO  New user connected :: AnonymousUser40 
2020-08-08 22:04:53.728 INFO  disconnection : AnonymousUser40 
2020-08-08 22:20:27.632 INFO  New user connected :: AnonymousUser32 
2020-08-08 22:20:57.655 INFO  disconnection : AnonymousUser32 
2020-08-08 22:29:23.948 INFO  New user connected :: AnonymousUser55 
2020-08-08 22:29:54.552 INFO  disconnection : AnonymousUser55 
2020-08-08 22:45:00.091 INFO  New user connected :: AnonymousUser55 
2020-08-08 22:45:32.273 INFO  disconnection : AnonymousUser55 
2020-08-08 22:47:58.568 INFO  New user connected :: AnonymousUser25 
2020-08-08 22:48:02.743 INFO  disconnection : AnonymousUser25 
2020-08-08 22:54:18.661 INFO  New user connected :: AnonymousUser69 
2020-08-08 22:54:50.277 INFO  disconnection : AnonymousUser69 
2020-08-08 22:56:10.624 INFO  New user connected :: AnonymousUser26 
2020-08-08 22:56:13.728 INFO  disconnection : AnonymousUser26 
2020-08-09 09:31:33.785 INFO  New user connected :: AnonymousUser23 
2020-08-09 09:32:00.297 INFO  disconnection : AnonymousUser23 
2020-08-09 09:34:31.760 INFO  New user connected :: AnonymousUser48 
2020-08-09 09:35:02.832 INFO  disconnection : AnonymousUser48 
2020-08-09 10:32:14.892 INFO  New user connected :: AnonymousUser54 
2020-08-09 10:32:46.161 INFO  disconnection : AnonymousUser54 
2020-08-09 10:35:19.965 INFO  New user connected :: AnonymousUser93 
2020-08-09 10:35:50.617 INFO  disconnection : AnonymousUser93 
2020-08-09 10:36:29.999 INFO  New user connected :: AnonymousUser90 
2020-08-09 10:37:15.743 INFO  new username : EchoDeltaMoon 
2020-08-09 10:38:38.988 INFO  disconnection : EchoDeltaMoon 
2020-08-09 10:38:50.191 INFO  New user connected :: AnonymousUser13 
2020-08-09 10:39:05.658 INFO  new username : EchoDeltaMoon 
